"port","gear","qtr","year","species","n","landing","coverage"
"CRS","TWL",1,1982,"BCAC",1,0,1
"CRS","TWL",1,1982,"BLCK",1,0,1
"CRS","TWL",1,1982,"CLPR",1,0,1
"CRS","TWL",1,1982,"CNRY",1,0,1
"CRS","TWL",1,1982,"DBRK",1,0,1
"CRS","TWL",1,1982,"GSRK",1,0,1
"CRS","TWL",1,1982,"POP",1,0,1
"CRS","TWL",1,1982,"SPKL",1,0,1
"CRS","TWL",1,1982,"WDOW",1,75920,0
"CRS","TWL",1,1982,"YTRK",1,0,1
"CRS","TWL",3,1982,"BCAC",2,0,1
"CRS","TWL",3,1982,"BLCK",2,0,1
"CRS","TWL",3,1982,"CLPR",2,0,1
"CRS","TWL",3,1982,"CNRY",2,6334,0.5
"CRS","TWL",3,1982,"DBRK",2,0,1
"CRS","TWL",3,1982,"GSRK",2,0,1
"CRS","TWL",3,1982,"POP",2,0,1
"CRS","TWL",3,1982,"SPKL",2,0,1
"CRS","TWL",3,1982,"WDOW",2,593775,0.5
"CRS","TWL",3,1982,"YTRK",2,33246,1
"ERK","TWL",1,1981,"BCAC",2,0,0.5
"ERK","TWL",1,1981,"BLCK",2,0,1
"ERK","TWL",1,1981,"CLPR",2,0,1
"ERK","TWL",1,1981,"CNRY",2,0,1
"ERK","TWL",1,1981,"DBRK",2,0,1
"ERK","TWL",1,1981,"GSRK",2,0,1
"ERK","TWL",1,1981,"POP",2,0,1
"ERK","TWL",1,1981,"SPKL",2,0,1
"ERK","TWL",1,1981,"WDOW",2,0,0.5
"ERK","TWL",1,1981,"YTRK",2,0,1
"ERK","TWL",1,1982,"BCAC",12,11681,0.916666666666667
"ERK","TWL",1,1982,"BLCK",12,0,1
"ERK","TWL",1,1982,"CLPR",12,506,0.833333333333333
"ERK","TWL",1,1982,"CNRY",12,761,0.916666666666667
"ERK","TWL",1,1982,"DBRK",12,0,1
"ERK","TWL",1,1982,"GSRK",12,0,1
"ERK","TWL",1,1982,"POP",12,0,1
"ERK","TWL",1,1982,"SPKL",12,0,1
"ERK","TWL",1,1982,"WDOW",12,103428,0.166666666666667
"ERK","TWL",1,1982,"YTRK",12,0,1
"ERK","TWL",2,1981,"BCAC",2,0,1
"ERK","TWL",2,1981,"BLCK",2,0,1
"ERK","TWL",2,1981,"CLPR",2,0,1
"ERK","TWL",2,1981,"CNRY",2,0,1
"ERK","TWL",2,1981,"DBRK",2,0,1
"ERK","TWL",2,1981,"GSRK",2,0,1
"ERK","TWL",2,1981,"POP",2,0,1
"ERK","TWL",2,1981,"SPKL",2,0,1
"ERK","TWL",2,1981,"WDOW",2,0,0
"ERK","TWL",2,1981,"YTRK",2,0,1
"ERK","TWL",2,1982,"BCAC",9,0,1
"ERK","TWL",2,1982,"BLCK",9,0,1
"ERK","TWL",2,1982,"CLPR",9,0,1
"ERK","TWL",2,1982,"CNRY",9,0,1
"ERK","TWL",2,1982,"DBRK",9,0,1
"ERK","TWL",2,1982,"GSRK",9,0,1
"ERK","TWL",2,1982,"POP",9,0,1
"ERK","TWL",2,1982,"SPKL",9,0,1
"ERK","TWL",2,1982,"WDOW",9,59393,0.222222222222222
"ERK","TWL",2,1982,"YTRK",9,0,1
"ERK","TWL",3,1981,"BCAC",1,63,0
"ERK","TWL",3,1981,"BLCK",1,0,1
"ERK","TWL",3,1981,"CLPR",1,0,1
"ERK","TWL",3,1981,"CNRY",1,0,1
"ERK","TWL",3,1981,"DBRK",1,0,1
"ERK","TWL",3,1981,"GSRK",1,0,1
"ERK","TWL",3,1981,"POP",1,0,1
"ERK","TWL",3,1981,"SPKL",1,0,1
"ERK","TWL",3,1981,"WDOW",1,546,1
"ERK","TWL",3,1981,"YTRK",1,0,1
"ERK","TWL",3,1982,"BCAC",15,0,0.866666666666667
"ERK","TWL",3,1982,"BLCK",15,0,0.933333333333333
"ERK","TWL",3,1982,"CLPR",15,0,1
"ERK","TWL",3,1982,"CNRY",15,0,1
"ERK","TWL",3,1982,"DBRK",15,0,0.933333333333333
"ERK","TWL",3,1982,"GSRK",15,0,1
"ERK","TWL",3,1982,"POP",15,0,0.933333333333333
"ERK","TWL",3,1982,"SPKL",15,0,1
"ERK","TWL",3,1982,"WDOW",15,640381,0.2
"ERK","TWL",3,1982,"YTRK",15,0,0.8
"ERK","TWL",4,1981,"BCAC",8,0,1
"ERK","TWL",4,1981,"BLCK",8,0,1
"ERK","TWL",4,1981,"CLPR",8,0,1
"ERK","TWL",4,1981,"CNRY",8,0,1
"ERK","TWL",4,1981,"DBRK",8,0,1
"ERK","TWL",4,1981,"GSRK",8,0,1
"ERK","TWL",4,1981,"POP",8,0,1
"ERK","TWL",4,1981,"SPKL",8,0,1
"ERK","TWL",4,1981,"WDOW",8,26464,0
"ERK","TWL",4,1981,"YTRK",8,0,1
"ERK","TWL",4,1982,"BCAC",6,0,1
"ERK","TWL",4,1982,"BLCK",6,0,1
"ERK","TWL",4,1982,"CLPR",6,0,1
"ERK","TWL",4,1982,"CNRY",6,0,1
"ERK","TWL",4,1982,"DBRK",6,0,1
"ERK","TWL",4,1982,"GSRK",6,0,1
"ERK","TWL",4,1982,"POP",6,0,1
"ERK","TWL",4,1982,"SPKL",6,0,1
"ERK","TWL",4,1982,"WDOW",6,66716,0
"ERK","TWL",4,1982,"YTRK",6,0,1
"BRG","TWL",1,1982,"BCAC",2,0,1
"BRG","TWL",1,1982,"BLCK",2,0,1
"BRG","TWL",1,1982,"CLPR",2,0,1
"BRG","TWL",1,1982,"CNRY",2,0,1
"BRG","TWL",1,1982,"DBRK",2,0,1
"BRG","TWL",1,1982,"GSRK",2,0,1
"BRG","TWL",1,1982,"POP",2,0,1
"BRG","TWL",1,1982,"SPKL",2,0,1
"BRG","TWL",1,1982,"WDOW",2,1809,0
"BRG","TWL",1,1982,"YTRK",2,0,1
"BRG","TWL",3,1982,"BCAC",6,0,1
"BRG","TWL",3,1982,"BLCK",6,0,1
"BRG","TWL",3,1982,"CLPR",6,0,1
"BRG","TWL",3,1982,"CNRY",6,0,1
"BRG","TWL",3,1982,"DBRK",6,0,1
"BRG","TWL",3,1982,"GSRK",6,0,0.833333333333333
"BRG","TWL",3,1982,"POP",6,0,1
"BRG","TWL",3,1982,"SPKL",6,0,1
"BRG","TWL",3,1982,"WDOW",6,81226,0.166666666666667
"BRG","TWL",3,1982,"YTRK",6,0,0.833333333333333
"BRG","TWL",4,1981,"BCAC",2,0,1
"BRG","TWL",4,1981,"BLCK",2,0,1
"BRG","TWL",4,1981,"CLPR",2,0,1
"BRG","TWL",4,1981,"CNRY",2,0,1
"BRG","TWL",4,1981,"DBRK",2,0,1
"BRG","TWL",4,1981,"GSRK",2,0,1
"BRG","TWL",4,1981,"POP",2,0,1
"BRG","TWL",4,1981,"SPKL",2,0,1
"BRG","TWL",4,1981,"WDOW",2,0,0
"BRG","TWL",4,1981,"YTRK",2,0,1
"BRG","TWL",4,1982,"BCAC",2,0,1
"BRG","TWL",4,1982,"BLCK",2,0,1
"BRG","TWL",4,1982,"CLPR",2,0,1
"BRG","TWL",4,1982,"CNRY",2,0,1
"BRG","TWL",4,1982,"DBRK",2,0,1
"BRG","TWL",4,1982,"GSRK",2,0,1
"BRG","TWL",4,1982,"POP",2,0,1
"BRG","TWL",4,1982,"SPKL",2,0,1
"BRG","TWL",4,1982,"WDOW",2,35050,0
"BRG","TWL",4,1982,"YTRK",2,0,1
"BDG","TWL",3,1982,"BCAC",7,0,1
"BDG","TWL",3,1982,"BLCK",7,0,1
"BDG","TWL",3,1982,"CLPR",7,0,1
"BDG","TWL",3,1982,"CNRY",7,0,1
"BDG","TWL",3,1982,"DBRK",7,0,1
"BDG","TWL",3,1982,"GSRK",7,0,1
"BDG","TWL",3,1982,"POP",7,0,1
"BDG","TWL",3,1982,"SPKL",7,0,1
"BDG","TWL",3,1982,"WDOW",7,2030025,0
"BDG","TWL",3,1982,"YTRK",7,0,0.714285714285714
"BDG","TWL",4,1981,"BCAC",18,0,1
"BDG","TWL",4,1981,"BLCK",18,0,1
"BDG","TWL",4,1981,"CLPR",18,0,1
"BDG","TWL",4,1981,"CNRY",18,0,1
"BDG","TWL",4,1981,"DBRK",18,0,1
"BDG","TWL",4,1981,"GSRK",18,0,1
"BDG","TWL",4,1981,"POP",18,0,1
"BDG","TWL",4,1981,"SPKL",18,0,1
"BDG","TWL",4,1981,"WDOW",18,292143,0
"BDG","TWL",4,1981,"YTRK",18,0,1
"BDG","TWL",4,1982,"BCAC",2,0,1
"BDG","TWL",4,1982,"BLCK",2,0,1
"BDG","TWL",4,1982,"CLPR",2,0,1
"BDG","TWL",4,1982,"CNRY",2,0,1
"BDG","TWL",4,1982,"DBRK",2,0,1
"BDG","TWL",4,1982,"GSRK",2,0,1
"BDG","TWL",4,1982,"POP",2,0,1
"BDG","TWL",4,1982,"SPKL",2,0,1
"BDG","TWL",4,1982,"WDOW",2,749995,0
"BDG","TWL",4,1982,"YTRK",2,0,1
"OSF","TWL",1,1982,"BCAC",9,0,1
"OSF","TWL",1,1982,"BLCK",9,0,1
"OSF","TWL",1,1982,"CLPR",9,0,1
"OSF","TWL",1,1982,"CNRY",9,0,1
"OSF","TWL",1,1982,"DBRK",9,0,1
"OSF","TWL",1,1982,"GSRK",9,0,1
"OSF","TWL",1,1982,"POP",9,0,1
"OSF","TWL",1,1982,"SPKL",9,0,1
"OSF","TWL",1,1982,"WDOW",9,218403,0
"OSF","TWL",1,1982,"YTRK",9,0,1
"OSF","TWL",2,1982,"BCAC",2,0,1
"OSF","TWL",2,1982,"BLCK",2,0,1
"OSF","TWL",2,1982,"CLPR",2,0,1
"OSF","TWL",2,1982,"CNRY",2,0,1
"OSF","TWL",2,1982,"DBRK",2,0,1
"OSF","TWL",2,1982,"GSRK",2,0,1
"OSF","TWL",2,1982,"POP",2,0,1
"OSF","TWL",2,1982,"SPKL",2,0,1
"OSF","TWL",2,1982,"WDOW",2,0,0.5
"OSF","TWL",2,1982,"YTRK",2,0,1
"OSF","TWL",3,1982,"BCAC",4,0,1
"OSF","TWL",3,1982,"BLCK",4,0,1
"OSF","TWL",3,1982,"CLPR",4,0,1
"OSF","TWL",3,1982,"CNRY",4,0,1
"OSF","TWL",3,1982,"DBRK",4,0,1
"OSF","TWL",3,1982,"GSRK",4,0,1
"OSF","TWL",3,1982,"POP",4,0,1
"OSF","TWL",3,1982,"SPKL",4,0,1
"OSF","TWL",3,1982,"WDOW",4,747537,0
"OSF","TWL",3,1982,"YTRK",4,0,1
"OSF","TWL",4,1981,"BCAC",3,0,1
"OSF","TWL",4,1981,"BLCK",3,0,1
"OSF","TWL",4,1981,"CLPR",3,0,1
"OSF","TWL",4,1981,"CNRY",3,0,1
"OSF","TWL",4,1981,"DBRK",3,0,1
"OSF","TWL",4,1981,"GSRK",3,0,1
"OSF","TWL",4,1981,"POP",3,0,1
"OSF","TWL",4,1981,"SPKL",3,0,1
"OSF","TWL",4,1981,"WDOW",3,12344,0
"OSF","TWL",4,1981,"YTRK",3,0,1
"OSF","TWL",4,1982,"BCAC",2,0,1
"OSF","TWL",4,1982,"BLCK",2,0,1
"OSF","TWL",4,1982,"CLPR",2,0,1
"OSF","TWL",4,1982,"CNRY",2,0,1
"OSF","TWL",4,1982,"DBRK",2,0,1
"OSF","TWL",4,1982,"GSRK",2,0,1
"OSF","TWL",4,1982,"POP",2,0,1
"OSF","TWL",4,1982,"SPKL",2,0,1
"OSF","TWL",4,1982,"WDOW",2,35244,0
"OSF","TWL",4,1982,"YTRK",2,0,1
"MNT","TWL",1,1982,"BCAC",7,0,1
"MNT","TWL",1,1982,"BLCK",7,0,1
"MNT","TWL",1,1982,"CLPR",7,0,1
"MNT","TWL",1,1982,"CNRY",7,0,1
"MNT","TWL",1,1982,"DBRK",7,0,1
"MNT","TWL",1,1982,"GSRK",7,0,1
"MNT","TWL",1,1982,"POP",7,0,1
"MNT","TWL",1,1982,"SPKL",7,0,1
"MNT","TWL",1,1982,"WDOW",7,0,0
"MNT","TWL",1,1982,"YTRK",7,0,1
"MNT","TWL",3,1982,"BCAC",1,0,1
"MNT","TWL",3,1982,"BLCK",1,0,1
"MNT","TWL",3,1982,"CLPR",1,0,1
"MNT","TWL",3,1982,"CNRY",1,0,1
"MNT","TWL",3,1982,"DBRK",1,0,1
"MNT","TWL",3,1982,"GSRK",1,0,1
"MNT","TWL",3,1982,"POP",1,0,1
"MNT","TWL",3,1982,"SPKL",1,0,1
"MNT","TWL",3,1982,"WDOW",1,5551,0
"MNT","TWL",3,1982,"YTRK",1,0,1
"MNT","TWL",4,1981,"BCAC",1,0,1
"MNT","TWL",4,1981,"BLCK",1,0,1
"MNT","TWL",4,1981,"CLPR",1,0,1
"MNT","TWL",4,1981,"CNRY",1,0,1
"MNT","TWL",4,1981,"DBRK",1,0,1
"MNT","TWL",4,1981,"GSRK",1,0,1
"MNT","TWL",4,1981,"POP",1,0,1
"MNT","TWL",4,1981,"SPKL",1,0,1
"MNT","TWL",4,1981,"WDOW",1,0,0
"MNT","TWL",4,1981,"YTRK",1,0,1
"MNT","TWL",4,1982,"BCAC",2,4825,0.5
"MNT","TWL",4,1982,"BLCK",2,0,1
"MNT","TWL",4,1982,"CLPR",2,2408,0.5
"MNT","TWL",4,1982,"CNRY",2,0,1
"MNT","TWL",4,1982,"DBRK",2,0,1
"MNT","TWL",4,1982,"GSRK",2,0,1
"MNT","TWL",4,1982,"POP",2,0,1
"MNT","TWL",4,1982,"SPKL",2,0,0.5
"MNT","TWL",4,1982,"WDOW",2,113356,1
"MNT","TWL",4,1982,"YTRK",2,0,1
"MRO","TWL",3,1982,"BCAC",1,0,1
"MRO","TWL",3,1982,"BLCK",1,0,1
"MRO","TWL",3,1982,"CLPR",1,4798,1
"MRO","TWL",3,1982,"CNRY",1,0,1
"MRO","TWL",3,1982,"DBRK",1,0,1
"MRO","TWL",3,1982,"GSRK",1,0,1
"MRO","TWL",3,1982,"POP",1,0,1
"MRO","TWL",3,1982,"SPKL",1,13438,1
"MRO","TWL",3,1982,"WDOW",1,95985,1
"MRO","TWL",3,1982,"YTRK",1,26877,1
